circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,KARMIKA NAGAR (N),DOMESTIC,1,562,523.0,56999,598.24
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,KARMIKA NAGAR (S),DOMESTIC,1,423,402.0,49520,464.57
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,KARMIKA NAGAR II,DOMESTIC,1,995,970.0,122488,1189.88
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,MOTHI NAGAR (S),DOMESTIC,1,909,895.0,174683,2292.1
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,N.R.R.PURAM SITE - II,DOMESTIC,1,275,267.0,40080,327.82
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,N.R.R.PURAM SITE - III,DOMESTIC,1,1228,1197.0,158566,1382.8
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,N.R.R.PURAM-III (W),DOMESTIC,1,353,340.0,52754,410.94
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,NATCO SCHOOL,DOMESTIC,1,915,758.0,88647,702.88
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,NAVA BHARATH NAGAR,DOMESTIC,1,551,540.0,71870,568.44
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,N.B.T. NAGAR P. GADDA,DOMESTIC,1,513,494.0,62498,427.96
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,P.  NAGAR WATER TANK,DOMESTIC,1,239,235.0,36141,438.36
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,P. GADDA GOVT. QRTS. ,DOMESTIC,1,510,73.0,12011,700.45
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,P. NAGAR COLONY,DOMESTIC,1,999,958.0,150422,1604.6
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,P. NAGAR EXTENSION,DOMESTIC,1,1206,1160.0,205341,2483.34
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,PATIGADDA EXTN,DOMESTIC,1,820,699.0,103298,827.64
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,PRAKASH NAGAR RIGHT,DOMESTIC,1,1298,1233.0,174788,1796.29
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,R.B.I.QUARTERS,DOMESTIC,1,316,290.0,29712,900.04
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,SHAM LAL INDIVISUAL,DOMESTIC,1,591,589.0,73949,712.9
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,SHAMLAL BUILDINGS,DOMESTIC,1,1080,1043.0,154647,1479.87
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,NEW RAMA RAO NAGAR,DOMESTIC,1,573,555.0,59882,675.56
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,NSC BOSE NAGAR,DOMESTIC,1,402,350.0,44914,471.56
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,PEDDAMMA NAGAR,DOMESTIC,1,760,701.0,77420,727.04
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,PRATHIBHA NAGAR,DOMESTIC,1,723,657.0,76960,627.08
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,RADHA KRISHNA NAGAR,DOMESTIC,1,714,711.0,84954,812.02
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,RAJEEVGANDHI NAGAR,DOMESTIC,1,961,880.0,109003,873.08
