circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
CYBERCITY,KONDAPUR,KPHB,BALAJI NAGAR,SAFDAR NAGAR,DOMESTIC,1,1676,1658.0,273373,2208.53
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,HAFEEZPET,AMBEDHKAR NAGAR,DOMESTIC,1,1143,1108.0,199706,3670.07
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,HAFEEZPET,ENDECO BULIDERS & DEVELOPERS,DOMESTIC,1,482,482.0,66550,2041.0
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,HAFEEZPET,HAFEEZPET VILLAGE,DOMESTIC,1,1211,1167.0,168150,1622.53
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,HAFEEZPET,HAFEEZPET YOUTH COLONY,DOMESTIC,1,898,858.0,139225,1662.37
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,HAFEEZPET,HANUMAN TEMPLE SCB NAGAR,DOMESTIC,1,1326,1293.0,230842,2033.93
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,HAFEEZPET,JANAPRIYA APARTMENTS,DOMESTIC,1,1266,1258.0,196941,3018.8
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,HAFEEZPET,JANAPRIYA NAGAR,DOMESTIC,1,688,684.0,102905,981.61
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,HAFEEZPET,JANAPRIYA-2,DOMESTIC,1,1128,1125.0,169765,1477.9
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,HAFEEZPET,KRISHNA COLONY,DOMESTIC,1,1426,1418.0,225514,2085.86
CYBERCITY,GACHIBOWLI,GACHIBOWLI,TARANAGAR,LINGAMPALLY VILLAGE,DOMESTIC,1,109,103.0,13110,286.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,TARANAGAR,OLD LINGAMPALLY,DOMESTIC,1,2554,2515.0,403542,5921.24
CYBERCITY,GACHIBOWLI,GACHIBOWLI,TARANAGAR,PAPI REDDY NAGAR,DOMESTIC,1,1968,1709.0,223720,2283.34
CYBERCITY,GACHIBOWLI,GACHIBOWLI,TARANAGAR,PAPIREDDY NAGAR,DOMESTIC,1,1138,1091.0,136399,1660.63
CYBERCITY,GACHIBOWLI,GACHIBOWLI,TARANAGAR,PAPIREDDY NAGAR4,DOMESTIC,1,1578,1552.0,210781,1808.8
CYBERCITY,GACHIBOWLI,GACHIBOWLI,TARANAGAR,POLICE QUARTERS,DOMESTIC,1,75,67.0,746,75.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,TARANAGAR,RAJEEV SWAGRUHA,DOMESTIC,1,1197,1180.0,188612,1464.96
CYBERCITY,GACHIBOWLI,GACHIBOWLI,TARANAGAR,RAJIV GRUHA KALPA,DOMESTIC,1,1631,1546.0,178017,1643.24
CYBERCITY,GACHIBOWLI,GACHIBOWLI,TARANAGAR,RGK BLOCKS,DOMESTIC,1,1057,1057.0,121605,1061.48
CYBERCITY,KONDAPUR,KPHB,BALAJI NAGAR,SAFDAR NAGAR-2,DOMESTIC,1,2119,2113.0,323694,2335.37
CYBERCITY,KONDAPUR,KPHB,BALAJI NAGAR,VII TH PHASE,DOMESTIC,1,68,67.0,20644,662.0
CYBERCITY,KONDAPUR,KPHB,BALAJI NAGAR,VIITH PH KPHB COLONY,DOMESTIC,1,2779,2773.0,375820,5363.05
CYBERCITY,KONDAPUR,KPHB,BALAJI NAGAR,VIVEKNAGAR,DOMESTIC,1,4351,4276.0,751158,10752.78
CYBERCITY,KONDAPUR,KPHB,K P H B COLONY,9TH PHASE,DOMESTIC,1,2938,2921.0,453593,7055.88
CYBERCITY,KONDAPUR,KPHB,K P H B COLONY,DHARMA REDDY NAGAR,DOMESTIC,1,1413,1385.0,258509,4292.89
CYBERCITY,KONDAPUR,KPHB,K P H B COLONY,EWS,DOMESTIC,1,5048,5030.0,592624,7289.66
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,HAFEEZPET,KUMARBASTHI OLD HAFEEZPET,DOMESTIC,1,737,736.0,97639,1001.37
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,HAFEEZPET,MADHAVA NAGAR,DOMESTIC,1,1881,1875.0,345549,5708.01
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,HAFEEZPET,MATRUSRI NAGAR,DOMESTIC,1,2403,2386.0,535066,11648.0
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,HAFEEZPET,MATRUSRI SBI BANK AREA,DOMESTIC,1,1102,1094.0,237597,5402.0
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,HAFEEZPET,MATRUSRI SOCIETY OFFICE AREA,DOMESTIC,1,2106,2101.0,490111,10766.0
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,HAFEEZPET,MIYAPUR HV,DOMESTIC,1,131,129.0,89630,1495.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,TARANAGAR,SHANTI NAGAR,DOMESTIC,1,1105,1054.0,153079,1536.45
CYBERCITY,GACHIBOWLI,GACHIBOWLI,TARANAGAR,SHIVAJI NAGAR_POCHAMMA TEMPLE,DOMESTIC,1,2130,2103.0,338259,4803.84
CYBERCITY,GACHIBOWLI,GACHIBOWLI,TARANAGAR,SRINIVASA TOWERS,DOMESTIC,1,62,62.0,11511,126.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,TARANAGAR,SUDARSHAN NAGAR HV NON CT,DOMESTIC,1,71,68.0,31040,621.69
CYBERCITY,GACHIBOWLI,GACHIBOWLI,TARANAGAR,SUDHARSAN NAGAR,DOMESTIC,1,3531,3510.0,620055,12970.18
CYBERCITY,GACHIBOWLI,GACHIBOWLI,TARANAGAR,SURABI COLONY,DOMESTIC,1,504,488.0,67290,845.92
CYBERCITY,GACHIBOWLI,GACHIBOWLI,TARANAGAR,TARA NAGAR HV,DOMESTIC,1,3,2.0,288,9.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,TARANAGAR,TARANAGAR,DOMESTIC,1,1465,1432.0,207667,2405.86
CYBERCITY,KONDAPUR,KPHB,K P H B COLONY,"HIG,MIG",DOMESTIC,1,1414,1338.0,260179,4283.8
CYBERCITY,KONDAPUR,KPHB,K P H B COLONY,HV,DOMESTIC,1,14,14.0,8577,149.0
CYBERCITY,KONDAPUR,KPHB,K P H B COLONY,KPHB COLONY,DOMESTIC,1,38,28.0,41033,668.0
CYBERCITY,KONDAPUR,KPHB,K P H B COLONY,LIG ,DOMESTIC,1,2765,2730.0,371972,4605.32
CYBERCITY,KONDAPUR,KPHB,K P H B COLONY,LIG FLATS,DOMESTIC,1,892,869.0,95608,916.24
CYBERCITY,KONDAPUR,KPHB,K P H B COLONY,LIG FLATS 2,DOMESTIC,1,1051,1025.0,120850,1037.37
CYBERCITY,KONDAPUR,KPHB,K P H B COLONY,MIG,DOMESTIC,1,3384,3300.0,661520,11424.68
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,HAFEEZPET,OLD HAFEEZPET SAI NAGAR,DOMESTIC,1,1073,1066.0,161020,1452.48
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,HAFEEZPET,PRAJAY CITY,DOMESTIC,1,773,760.0,112564,1017.0
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,HAFEEZPET,RAILWAY STATION HAFEEZPET,DOMESTIC,1,909,908.0,150722,970.4
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,HAFEEZPET,SAI RAM COLONY,DOMESTIC,1,1261,1260.0,229860,3716.24
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,HAFEEZPET,SCB NAGAR,DOMESTIC,1,1616,1612.0,295198,2976.09
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,HAFEEZPET,SMR,DOMESTIC,1,969,969.0,255624,4847.0
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,HAFEEZPET,SMR-A,DOMESTIC,1,9,9.0,1003,36.0
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,HAFEEZPET,SRILA BUILDERS,DOMESTIC,1,428,425.0,114897,2060.66
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,HAFEEZPET,STREETLIGHT,DOMESTIC,1,10,,0,10.0
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,HAFEEZPET,VISWAMBHARA,DOMESTIC,1,1183,1179.0,256877,5455.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,TARANAGAR,TARANAGAR VEG.MARKET,DOMESTIC,1,865,859.0,110296,1311.62
CYBERCITY,GACHIBOWLI,GACHIBOWLI,TARANAGAR,TARANAGAR-2,DOMESTIC,1,1640,1625.0,247335,3245.38
CYBERCITY,GACHIBOWLI,GACHIBOWLI,TARANAGAR,VAMBAY HOUSES,DOMESTIC,1,1,1.0,119,1.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,TARANAGAR,VENKATDRI NAGAR COLONY,DOMESTIC,1,1565,1480.0,273209,3525.73
CYBERCITY,KONDAPUR,KPHB,K P H B COLONY,MIG ,DOMESTIC,1,1799,1797.0,342647,5070.87
CYBERCITY,KONDAPUR,KPHB,K P H B COLONY,MIG FLATS,DOMESTIC,1,592,570.0,83597,751.25
CYBERCITY,KONDAPUR,KPHB,K P H B COLONY,RAINTREE PARK,DOMESTIC,1,2313,2311.0,472618,10216.0
CYBERCITY,KONDAPUR,KPHB,K P H B COLONY,V TH PHASE KPHB,DOMESTIC,1,1825,1805.0,371223,6738.92
CYBERCITY,KONDAPUR,KPHB,K P H B COLONY,VASANTH NAGAR,DOMESTIC,1,1,,0,1.0
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,HAFEEZPET,,DOMESTIC,1,1,1.0,180,10.0
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,VASANTH NAGAR,BHAGATH SINGH NAGAR,DOMESTIC,1,1565,1552.0,292712,5286.07
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,VASANTH NAGAR,"DR.CLNY-II,S.S.CLNY,NRSA CLNY",DOMESTIC,1,3283,3234.0,588131,10834.14
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,VASANTH NAGAR,GOKUL PLOTS,DOMESTIC,1,5443,5330.0,1107153,22084.28
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,VASANTH NAGAR,GOPAL NAGAR-2,DOMESTIC,1,680,679.0,159654,3237.67
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,VASANTH NAGAR,GOPALA NAGAR,DOMESTIC,1,2478,2447.0,549789,11778.0
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,VASANTH NAGAR,JNTU REGISTER,DOMESTIC,1,274,228.0,27867,883.0
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,VASANTH NAGAR,MEADOW LANDS,DOMESTIC,1,340,340.0,87533,1706.0
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,VASANTH NAGAR,PRAJAY MEGAPOLIS PVT LTD,DOMESTIC,1,1121,1120.0,210139,5762.0
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,VASANTH NAGAR,SARDAR PATEL NAGAR,DOMESTIC,1,2612,2574.0,523151,10302.24
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,VASANTH NAGAR,"VASANTANAGAR,BAGATHSINGH NGR",DOMESTIC,1,1721,1690.0,275706,4092.02
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,VASANTH NAGAR,VASANTH NAGAR,DOMESTIC,1,1855,1854.0,313344,5150.77
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,VASANTH NAGAR,VENKATA RAMANA COLONY2,DOMESTIC,1,1958,1949.0,404642,8900.04
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,VASANTH NAGAR,VENKATARAMANA COLNY,DOMESTIC,1,2756,2581.0,488015,9658.31
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,VASANTH NAGAR,VENKATARAMANA COLONY,DOMESTIC,1,2517,2422.0,462998,8397.47
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,VASANTH NAGAR,VI PHASE,DOMESTIC,1,2431,2378.0,553909,9574.0
CYBERCITY,KONDAPUR,KONDAPUR,ALLAPUR,ALLAPUR STREET LIGHTS,DOMESTIC,1,16,7.0,1132,16.02
CYBERCITY,KONDAPUR,KONDAPUR,ALLAPUR,AYYAPPA SOCIETY,DOMESTIC,1,1665,1646.0,371123,6382.04
CYBERCITY,KONDAPUR,KONDAPUR,ALLAPUR,AYYAPPA SOCIETY COMMON,DOMESTIC,1,1152,1004.0,213515,4210.32
CYBERCITY,KONDAPUR,KONDAPUR,ALLAPUR,AYYAPPA SOCIETY-2,DOMESTIC,1,1314,1313.0,261764,4459.63
CYBERCITY,KONDAPUR,KONDAPUR,ALLAPUR,CHANDRA NAIK THANDA,DOMESTIC,1,1457,1378.0,285209,4154.38
CYBERCITY,KONDAPUR,KONDAPUR,ALLAPUR,GAYATRI NAGAR,DOMESTIC,1,2774,2702.0,519081,9775.63
CYBERCITY,KONDAPUR,KONDAPUR,ALLAPUR,GAYATRINAGAR2,DOMESTIC,1,1965,1963.0,345144,5159.12
CYBERCITY,KONDAPUR,KONDAPUR,ALLAPUR,GURU KUL TRUST,DOMESTIC,1,857,735.0,130793,2575.0
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,VASANTH NAGAR,VI TH PHASE KPHB,DOMESTIC,1,2839,2825.0,617855,9131.9
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,13-GRC,DOMESTIC,1,1,1.0,2369,45.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,APHB COLONY,DOMESTIC,1,1831,1716.0,398268,7607.75
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,BTNGOS G H SOCIETY,DOMESTIC,1,1,,0,1.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,CHITRAPURI COLONY,DOMESTIC,1,2815,2814.0,462424,6481.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,CT METERS TNGOS,DOMESTIC,1,6,6.0,15931,239.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,CT OLD GACHIBOWLI,DOMESTIC,1,2,2.0,3536,50.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,CT ORIAN VILLAS,DOMESTIC,1,63,63.0,74374,2028.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,CT TELECOMNAGAR,DOMESTIC,1,5,5.0,1701,85.0
CYBERCITY,KONDAPUR,KONDAPUR,ALLAPUR,GURUKUL TRUST-II,DOMESTIC,1,1470,1467.0,320182,6121.0
CYBERCITY,KONDAPUR,KONDAPUR,ALLAPUR,H.V,DOMESTIC,1,62,62.0,35947,594.0
CYBERCITY,KONDAPUR,KONDAPUR,ALLAPUR,"H.V AYYAPPA,GURUKUL,THANDA",DOMESTIC,1,83,83.0,58570,1112.0
CYBERCITY,KONDAPUR,KONDAPUR,ALLAPUR,"K.S.NAGAR, RANAPRATAP NAGAR",DOMESTIC,1,1788,1774.0,213184,1885.2
CYBERCITY,KONDAPUR,KONDAPUR,ALLAPUR,LAXMI NAGAR ,DOMESTIC,1,535,532.0,81561,867.94
CYBERCITY,KONDAPUR,KONDAPUR,ALLAPUR,"NEW ALLAPUR, PANDITHNEHRU NAGA",DOMESTIC,1,1961,1942.0,301301,2329.5
CYBERCITY,KONDAPUR,KONDAPUR,ALLAPUR,"PADMAVATHI NAGAR, RK SOCIETY",DOMESTIC,1,1498,1485.0,234111,2154.0
CYBERCITY,KONDAPUR,KONDAPUR,ALLAPUR,PARWATH NAGAR,DOMESTIC,1,4388,4322.0,515927,5787.33
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,CT VINAYAK NAGAR IVRCL IDBI,DOMESTIC,1,15,15.0,34769,466.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,CT-APHB COLONY,DOMESTIC,1,32,32.0,28800,724.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,CT-PRASHANTI HILLS RAIDURGAM,DOMESTIC,1,16,16.0,14581,328.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,DOMESTIC,1,1401,1319.0,271060,4842.12
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,GOVT SERVICES,DOMESTIC,1,3,1.0,102,11.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,GOWLIDODDI,DOMESTIC,1,1443,1285.0,268870,4623.5
CYBERCITY,KONDAPUR,KONDAPUR,ALLAPUR,PARWATHNAGAR-3,DOMESTIC,1,1917,1916.0,225613,2577.68
CYBERCITY,KONDAPUR,KONDAPUR,ALLAPUR,QUBA MASJID,DOMESTIC,1,657,657.0,99492,822.59
CYBERCITY,KONDAPUR,KONDAPUR,ALLAPUR,SAI NAGAR,DOMESTIC,1,455,437.0,86070,982.88
CYBERCITY,KONDAPUR,KONDAPUR,ALLAPUR,SHIVA BASTI,DOMESTIC,1,1636,1614.0,215983,1919.97
CYBERCITY,KONDAPUR,KONDAPUR,ALLAPUR,SOCIETY H.V ,DOMESTIC,1,5,5.0,5372,90.0
CYBERCITY,KONDAPUR,KONDAPUR,ALLAPUR,SOCIETY HV2,DOMESTIC,1,51,44.0,23029,917.0
CYBERCITY,KONDAPUR,KONDAPUR,ALLAPUR,"STREET LIGHTS,AYYAPPA SOCIETY",DOMESTIC,1,1,1.0,97,1.0
CYBERCITY,KONDAPUR,KONDAPUR,ALLAPUR,TULASINAGAR,DOMESTIC,1,1753,1717.0,214780,2327.22
CYBERCITY,KONDAPUR,KONDAPUR,ALLAPUR,VIVEKANANDA NAGAR,DOMESTIC,1,3925,3895.0,531036,5482.68
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,GOWLIDODDI-2,DOMESTIC,1,754,754.0,171935,2261.61
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,GPRA,DOMESTIC,1,1248,1110.0,123390,3336.51
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,HV APHB COLONY,DOMESTIC,1,208,207.0,123181,2620.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,HV CHITRAPURI COLONY,DOMESTIC,1,44,44.0,94401,1135.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,HV GACHIBOWLI,DOMESTIC,1,42,38.0,11358,364.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,HV GOWLI DODDI,DOMESTIC,1,14,12.0,20391,350.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,HV JAIN,DOMESTIC,1,6,6.0,45332,279.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,HV KHAJAGUDA,DOMESTIC,1,51,50.0,128789,1239.0
CYBERCITY,KONDAPUR,KONDAPUR,ALLAPUR,VIVEKANANDANAGAR,DOMESTIC,1,2508,2499.0,337853,3408.93
CYBERCITY,KONDAPUR,KONDAPUR,KONDAPUR,8TH BATALLION,DOMESTIC,1,566,479.0,47537,684.0
CYBERCITY,KONDAPUR,KONDAPUR,KONDAPUR,ADITYA HOMES,DOMESTIC,1,366,366.0,109921,1878.0
CYBERCITY,KONDAPUR,KONDAPUR,KONDAPUR,GOLDEN TUILP,DOMESTIC,1,3544,3502.0,727766,16558.08
CYBERCITY,KONDAPUR,KONDAPUR,KONDAPUR,HV,DOMESTIC,1,186,169.0,139366,2818.46
CYBERCITY,KONDAPUR,KONDAPUR,KONDAPUR,HV KONDAPUR,DOMESTIC,1,100,99.0,110929,1627.0
CYBERCITY,KONDAPUR,KONDAPUR,KONDAPUR,HV-3,DOMESTIC,1,35,35.0,26384,481.91
CYBERCITY,KONDAPUR,KONDAPUR,KONDAPUR,IZZATH NAGAR,DOMESTIC,1,3122,2919.0,381106,4360.09
CYBERCITY,KONDAPUR,KONDAPUR,KONDAPUR,IZZATH NAGAR VG,DOMESTIC,1,907,865.0,200648,3187.94
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,HV LANCO,DOMESTIC,1,62,62.0,147229,2063.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,HV NANAKRAMGUDA,DOMESTIC,1,18,18.0,53619,579.46
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,HV OLD GACHIBOWLI,DOMESTIC,1,10,10.0,4226,81.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,HV TELECOM NAGAR,DOMESTIC,1,26,23.0,9360,216.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,IVRCL,DOMESTIC,1,665,658.0,226355,4030.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,JAIN HOUSING,DOMESTIC,1,1663,1663.0,348727,8492.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,JOURNALIST COLONY ,DOMESTIC,1,954,938.0,199833,4485.73
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,KHAJA GUDA,DOMESTIC,1,1257,1173.0,241040,3437.17
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,KHAJAGUDA-2,DOMESTIC,1,1166,1163.0,211141,3196.11
CYBERCITY,KONDAPUR,KONDAPUR,KONDAPUR,JUBILEE GARDEN,DOMESTIC,1,1879,1858.0,496856,9870.6
CYBERCITY,KONDAPUR,KONDAPUR,KONDAPUR,JUBLEE GARDEN-2,DOMESTIC,1,1440,1435.0,300875,6581.0
CYBERCITY,KONDAPUR,KONDAPUR,KONDAPUR,KHANAMET MUSLIM BASTI,DOMESTIC,1,1501,1404.0,302780,6060.26
CYBERCITY,KONDAPUR,KONDAPUR,KONDAPUR,KONDAPUR,DOMESTIC,1,6027,5880.0,1089496,20300.54
CYBERCITY,KONDAPUR,KONDAPUR,KONDAPUR,KOTHAGUDA,DOMESTIC,1,2010,1889.0,307637,4232.36
CYBERCITY,KONDAPUR,KONDAPUR,KONDAPUR,KOTHAGUDA-VILLAGE,DOMESTIC,1,1597,1584.0,273668,4025.82
CYBERCITY,KONDAPUR,KONDAPUR,KONDAPUR,MATHABHUVANESWARI,DOMESTIC,1,271,269.0,51146,1144.0
CYBERCITY,KONDAPUR,KONDAPUR,KONDAPUR,MEENAKSHI,DOMESTIC,1,431,426.0,177779,4343.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,L&T TOWERS,DOMESTIC,1,1040,1037.0,243677,6185.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,"LANCO HILLS, GBL",DOMESTIC,1,1615,1610.0,520042,12133.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,MANTHRI,DOMESTIC,1,1181,1172.0,226555,3571.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,MIG-CHITRAPURI,DOMESTIC,1,1389,1347.0,203341,6955.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,NANAKRAM GUDA,DOMESTIC,1,1,,0,3.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,NANAKRAMGUDA,DOMESTIC,1,1117,1032.0,219733,1996.01
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,NANAKRAMGUDA-2,DOMESTIC,1,1013,994.0,237447,4637.99
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,NANAKRAMGUDA2,DOMESTIC,1,846,834.0,168205,1623.54
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,OLD GACHIBOWLI,DOMESTIC,1,1688,1496.0,270223,3495.28
CYBERCITY,KONDAPUR,KONDAPUR,KONDAPUR,RAGHAVENDRA CLNY,DOMESTIC,1,2780,2605.0,506217,9586.7
CYBERCITY,KONDAPUR,KONDAPUR,KONDAPUR,RAGHAVENDRA COLONY A & B BLOCK,DOMESTIC,1,1447,1447.0,282135,6601.0
CYBERCITY,KONDAPUR,KONDAPUR,KONDAPUR,RAJA RAJESWARI NAGAR,DOMESTIC,1,2904,2901.0,589307,12336.0
CYBERCITY,KONDAPUR,KONDAPUR,KONDAPUR,SHILPA PARK,DOMESTIC,1,2646,2550.0,593839,9619.06
CYBERCITY,KONDAPUR,KONDAPUR,KONDAPUR,SHILPA VALLY,DOMESTIC,1,2988,2958.0,586406,15109.5
CYBERCITY,KONDAPUR,KONDAPUR,KONDAPUR,SHL VENTURES,DOMESTIC,1,168,168.0,68098,2060.0
CYBERCITY,KONDAPUR,KONDAPUR,KONDAPUR,,DOMESTIC,1,1,1.0,5242,40.0
CYBERCITY,KONDAPUR,KONDAPUR,WHITE FIELD,ANJAIAH NAGAR,DOMESTIC,1,2015,1598.0,253918,4549.04
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,P.W.S.,DOMESTIC,1,21,21.0,45617,629.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,RAI DURGAM-2,DOMESTIC,1,1216,1215.0,264632,5651.33
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,RAIDURGAM,DOMESTIC,1,1097,990.0,180916,3027.16
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,SAI AISHWARYA LAYOUT,DOMESTIC,1,1765,1752.0,412256,9043.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,SECRETARIAT COLONY,DOMESTIC,1,963,958.0,160757,3691.34
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,STREETLIGHT1,DOMESTIC,1,1,1.0,1469,5.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,TELECOM NAGAR,DOMESTIC,1,2443,2287.0,468114,8182.03
CYBERCITY,KONDAPUR,KONDAPUR,WHITE FIELD,ANJAIAH NAGAR-2,DOMESTIC,1,1303,1293.0,208939,2393.28
CYBERCITY,KONDAPUR,KONDAPUR,WHITE FIELD,ANJAIAHNAGAR,DOMESTIC,1,2,2.0,1125,21.0
CYBERCITY,KONDAPUR,KONDAPUR,WHITE FIELD,GACHIBOWLI,DOMESTIC,1,2514,2293.0,634899,9108.38
CYBERCITY,KONDAPUR,KONDAPUR,WHITE FIELD,GOUTHAMI APTS,DOMESTIC,1,3179,3151.0,755044,15965.0
CYBERCITY,KONDAPUR,KONDAPUR,WHITE FIELD,HV NON CT,DOMESTIC,1,144,144.0,78133,1907.0
CYBERCITY,KONDAPUR,KONDAPUR,WHITE FIELD,HV WHITEFIELD,DOMESTIC,1,88,88.0,72079,1339.0
CYBERCITY,KONDAPUR,KONDAPUR,WHITE FIELD,JANARDAN HILLS,DOMESTIC,1,2183,1962.0,556588,10630.5
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,TNGOS HYDERABAD,DOMESTIC,1,1780,1741.0,343905,6456.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,TNGOS HYEDRABAD II,DOMESTIC,1,1694,1686.0,393268,6937.6
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,TNGOS RANGA REDDY,DOMESTIC,1,1431,1416.0,263674,5423.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,,DOMESTIC,1,1,1.0,0,5.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,NALLAGANDLA,AADARSH NAGAR,DOMESTIC,1,1662,1653.0,240624,2605.11
